id,guid,question,cevap,explanation,difficulty,category,subcategory
1,550e8400-e29b-41d4-a716-446655440000,"""Dünya'nın en büyük okyanusu Pasifik Okyanusu'dur.""",TRUE,"Pasifik Okyanusu, yaklaşık 165.2 milyon km² yüzölçümü ile dünyanın en büyük okyanusudur.",Kolay,Tarih,Dünya tarihi
2,550e8400-e29b-41d4-a716-446655440001,"""İstanbul, Osmanlı İmparatorluğu'nun başkenti olmuştur.""",TRUE,1453'te Osmanlı İmparatorluğu İstanbul'u fethederek başkent yapmıştır.,Kolay,Tarih,Türkiye tarihi
3,550e8400-e29b-41d4-a716-446655440002,"""Roma İmparatorluğu, MÖ 27 yılında Augustus tarafından kurulmuştur.""",TRUE,"Augustus, Roma'da ilk imparator olarak Roma İmparatorluğu'nu kurmuştur.",Kolay,Tarih,Antik
4,550e8400-e29b-41d4-a716-446655440003,"""Mustafa Kemal Atatürk, 1881 yılında Selanik'te doğmuştur.""",TRUE,"Mustafa Kemal Atatürk, 1881'de Osmanlı İmparatorluğu'na bağlı Selanik şehrinde doğmuştur.",Kolay,Tarih,Türkiye tarihi
5,550e8400-e29b-41d4-a716-446655440004,"""İlk çağların en önemli medeniyetlerinden biri Mezopotamya'da kurulmuştur.""",TRUE,"Mezopotamya, Sümerler, Akadlar, Babiller gibi önemli uygarlıklara ev sahipliği yapmıştır.",Kolay,Tarih,Antik
6,550e8400-e29b-41d4-a716-446655440005,"""Mısır piramitleri, antik Mısır uygarlığının en bilinen yapılarıdır.""",TRUE,"Mısır piramitleri, MÖ 27. yüzyıldan itibaren inşa edilmeye başlanmış ve dünyaca ünlüdür.",Kolay,Tarih,Antik
7,550e8400-e29b-41d4-a716-446655440006,"""Dünyanın ilk yazılı anayasası, 1215 yılında kabul edilen Magna Carta'dır.""",TRUE,"Magna Carta, İngiltere Kralı John tarafından 1215'te kabul edilmiştir ve modern hukuk sistemine etkisi büyüktür.",Kolay,Tarih,Dünya tarihi
8,550e8400-e29b-41d4-a716-446655440007,"""Amerika Birleşik Devletleri 1776'da bağımsızlık ilan etmiştir.""",TRUE,"4 Temmuz 1776 tarihinde Amerika Birleşik Devletleri, İngiltere'den bağımsızlığını ilan etmiştir.",Kolay,Tarih,Dünya tarihi
9,550e8400-e29b-41d4-a716-446655440008,"""Fransa'da 1789 yılında Fransız Devrimi başlamıştır.""",TRUE,"Fransız Devrimi, Fransa'da toplumsal, siyasal ve ekonomik reformları başlatan bir devrimdir.",Kolay,Tarih,Dünya tarihi
10,550e8400-e29b-41d4-a716-446655440009,"""I. Dünya Savaşı, 1914 yılında başlamıştır.""",TRUE,"I. Dünya Savaşı, 1914 yılında Avusturya-Macaristan İmparatorluğu'nun Sırbistan'a savaş ilanıyla başlamıştır.",Kolay,Tarih,Dünya tarihi
11,550e8400-e29b-41d4-a716-446655440010,"""Kanuni Sultan Süleyman, 1520 yılında Osmanlı tahtına çıkmıştır.""",TRUE,"Kanuni Sultan Süleyman, 1520'de Osmanlı tahtına çıkmış ve 46 yıl süren hükümdarlığında önemli fetihler gerçekleştirmiştir.",Kolay,Tarih,Türkiye tarihi
12,550e8400-e29b-41d4-a716-446655440011,"""Tarihteki en büyük Roma İmparatoru, Roma İmparatoru Augustus'tur.""",TRUE,"Augustus, Roma İmparatorluğu'nu MÖ 27 yılında kurarak Roma'nın ilk imparatoru olmuştur.",Kolay,Tarih,Antik
